国家,字数,句数,平均每句字数,位置,气候,宗教,疆域
阿耆尼国,204,15,13.6,0.0,和畅,繁荣,较小
屈支国,911,66,13.8030303,557.5,和畅,繁荣,较大
跋禄迦国,72,5,14.4,1049.0,和畅,无记载,较小
凌山,95,7,13.57142857,1132.5,风寒,无记载,无记载
大清池,78,4,19.5,1219.0,无记载,无记载,小
素叶水城,67,5,13.4,1291.5,风寒,无记载,小
千泉,101,7,14.42857143,1375.5,无记载,无记载,小
呾逻私城,34,3,11.33333333,1443.0,风寒,无记载,小
小孤城,54,2,27.0,1487.0,无记载,无记载,无记载
白水城,31,2,15.5,1529.5,和畅,无记载,小
恭御城,40,4,10.0,1565.0,无记载,无记载,小
笯赤建国,73,7,10.42857143,1621.5,无记载,无记载,小
赭时国,57,6,9.5,1686.5,无记载,无记载,小
忄市捍国,81,5,16.2,1755.5,风寒,无记载,较大
窣堵利瑟那国,49,4,12.25,1820.5,无记载,无记载,较小
大沙碛,48,4,12.0,1869.0,无记载,无记载,无记载
飒秣建国,136,13,10.46153846,1961.0,和畅,无记载,较小
弭秣贺国,40,3,13.33333333,2049.0,和畅,无记载,小
劫布呾那国,49,6,8.166666667,2093.5,和畅,无记载,较小
屈霜你迦国,43,4,10.75,2139.5,和畅,无记载,较小
喝捍国,33,4,8.25,2177.5,和畅,无记载,小
捕喝国,41,4,10.25,2214.5,和畅,无记载,较小
伐地国,32,2,16.0,2251.0,和畅,无记载,小
货利习弥伽国,59,5,11.8,2296.5,和畅,无记载,较小
羯霜那国,57,3,19.0,2354.5,和畅,无记载,较小
铁门,51,2,25.5,2408.5,无记载,无记载,无记载
呾蜜国,85,6,14.16666667,2476.5,无记载,繁荣,较小
赤鄂衍那国,39,4,9.75,2538.5,无记载,式微,较小
忽露摩国,47,6,7.833333333,2581.5,无记载,式微,小
鞠和衍那国,39,4,9.75,2624.5,无记载,一般,较小
镬沙国,30,3,10.0,2659.0,无记载,无记载,较小
珂咄罗国,35,3,11.66666667,2691.5,无记载,无记载,较大
拘谜陁国,123,6,20.5,2770.5,无记载,无记载,大
缚伽浪国,32,3,10.66666667,2848.0,无记载,无记载,小
纥露悉泯健国,25,3,8.333333333,2876.5,无记载,无记载,小
忽懔国,32,4,8.0,2905.0,无记载,一般,小
缚喝国,708,39,18.15384615,3275.0,和畅,繁荣,较大
锐秣陁国,30,3,10.0,3644.0,无记载,无记载,小
胡寔健国,37,4,9.25,3677.5,无记载,无记载,较大
呾剌健国,44,4,11.0,3718.0,无记载,无记载,较小
揭职国,66,5,13.2,3773.0,风寒,一般,较小
大雪山,65,3,21.66666667,3838.5,风寒,无记载,无记载
梵衍那国,556,29,19.17241379,4149.0,风寒,繁荣,大
迦毕试国,2263,120,18.85833333,5558.5,风寒,繁荣,较大
滥波国,158,12,13.16666667,6769.0,温暑,式微,小
那揭罗曷国,1208,72,16.77777778,7452.0,温暑,式微,较小
健驮逻国,3792,194,19.54639175,9952.0,温暑,繁荣,较大
乌仗那国,2910,168,17.32142857,13303.0,和畅,繁荣,大
钵露罗国,157,10,15.7,14836.5,风寒,繁荣,较大
呾叉始罗国,1279,71,18.01408451,15554.5,和畅,式微,较小
僧诃补罗国,606,34,17.82352941,16497.0,风寒,无记载,较大
乌剌尸国,134,11,12.18181818,16867.0,和畅,无记载,较小
迦湿弥罗国,2883,165,17.47272727,18375.5,风寒,繁荣,大
半笯嗟国,132,11,12.0,19883.0,温暑,式微,较小
曷逻阇补罗国,134,10,13.4,20016.0,温暑,式微,较大
磔迦国,1372,80,17.15,20769.0,温暑,式微,大
